# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 07:07:14 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05453510 Coralville Lake near Coralville, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 05453510
#            TS   parameter     statistic     Description
#         42876       00054     32400     Reservoir storage, acre feet (Observation at noon)
#         42877       62614     30600     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at 06:00 AM)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	42877_62614_30600	42877_62614_30600_cd
USGS	05453510	2008-01-30	683.35	A
USGS	05453510	2008-01-31	683.42	A
USGS	05453510	2008-02-01	683.26	A
USGS	05453510	2008-02-02	683.22	A
USGS	05453510	2008-02-03	683.16	A
USGS	05453510	2008-02-04	683.15	A
USGS	05453510	2008-02-05	683.32	A
USGS	05453510	2008-02-06	683.50	A
USGS	05453510	2008-02-07	683.30	A
USGS	05453510	2008-02-08	683.24	A
USGS	05453510	2008-02-09	683.24	A
USGS	05453510	2008-02-10	683.25	A
USGS	05453510	2008-02-11	683.25	A
USGS	05453510	2008-02-12	683.27	A
USGS	05453510	2008-02-13	683.27	A
USGS	05453510	2008-02-14	683.21	A
USGS	05453510	2008-02-15	683.25	A
USGS	05453510	2008-02-16	683.28	A
USGS	05453510	2008-02-17	683.36	A
USGS	05453510	2008-02-18	683.48	A
USGS	05453510	2008-02-19	683.47	A
USGS	05453510	2008-02-20	683.49	A
USGS	05453510	2008-02-21	683.39	A
USGS	05453510	2008-02-22	683.26	A
USGS	05453510	2008-02-23	683.27	A
USGS	05453510	2008-02-24	683.27	A
USGS	05453510	2008-02-25	683.22	A
USGS	05453510	2008-02-26	683.27	A
USGS	05453510	2008-02-27	683.19	A
USGS	05453510	2008-02-28	683.19	A
USGS	05453510	2008-02-29	683.18	A
USGS	05453510	2008-03-01	683.06	A
USGS	05453510	2008-03-02	682.77	A
USGS	05453510	2008-03-03	683.18	A
USGS	05453510	2008-03-04	684.35	A
USGS	05453510	2008-03-05	684.63	A
USGS	05453510	2008-03-06	684.13	A
USGS	05453510	2008-03-07	683.74	A
USGS	05453510	2008-03-08	683.33	A
USGS	05453510	2008-03-09	683.02	A
USGS	05453510	2008-03-10	682.63	A
USGS	05453510	2008-03-11	682.18	A
USGS	05453510	2008-03-12	681.87	A
USGS	05453510	2008-03-13	681.91	A
USGS	05453510	2008-03-14	682.41	A
USGS	05453510	2008-03-15	683.58	A
USGS	05453510	2008-03-16	686.00	A
USGS	05453510	2008-03-17	689.05	A
USGS	05453510	2008-03-18	690.98	A
USGS	05453510	2008-03-19	694.05	A
USGS	05453510	2008-03-20	697.19	A
USGS	05453510	2008-03-21	699.41	A
USGS	05453510	2008-03-22	701.34	A
USGS	05453510	2008-03-23	702.25	A
USGS	05453510	2008-03-24	702.55	A
USGS	05453510	2008-03-25	702.62	A
USGS	05453510	2008-03-26	702.52	A
USGS	05453510	2008-03-27	702.12	A
USGS	05453510	2008-03-28	701.68	A
USGS	05453510	2008-03-29	701.04	A
USGS	05453510	2008-03-30	700.33	A
USGS	05453510	2008-03-31	699.62	A
USGS	05453510	2008-04-01	699.05	A
USGS	05453510	2008-04-02	698.30	A
USGS	05453510	2008-04-03	697.61	A
USGS	05453510	2008-04-04	697.10	A
USGS	05453510	2008-04-05	696.63	A
USGS	05453510	2008-04-06	696.18	A
USGS	05453510	2008-04-07	695.82	A
USGS	05453510	2008-04-08	695.40	A
USGS	05453510	2008-04-09	695.15	A
USGS	05453510	2008-04-10	694.48	A
USGS	05453510	2008-04-11	694.80	A
USGS	05453510	2008-04-12	695.22	A
USGS	05453510	2008-04-13	695.13	A
USGS	05453510	2008-04-14	694.98	A
USGS	05453510	2008-04-15	694.90	A
USGS	05453510	2008-04-16	694.74	A
USGS	05453510	2008-04-17	694.66	A
USGS	05453510	2008-04-18	694.66	A
USGS	05453510	2008-04-19	696.00	A
USGS	05453510	2008-04-20	697.66	A
USGS	05453510	2008-04-21	699.22	A
USGS	05453510	2008-04-22	700.71	A
USGS	05453510	2008-04-23	702.22	A
USGS	05453510	2008-04-24	703.45	A
USGS	05453510	2008-04-25	704.72	A
USGS	05453510	2008-04-26	706.16	A
USGS	05453510	2008-04-27	706.52	A
USGS	05453510	2008-04-28	706.68	A
USGS	05453510	2008-04-29	706.68	A
USGS	05453510	2008-04-30	706.72	A
USGS	05453510	2008-05-01	707.30	A
USGS	05453510	2008-05-02	707.90	A
USGS	05453510	2008-05-03	708.35	A
USGS	05453510	2008-05-04	708.54	A
USGS	05453510	2008-05-05	708.63	A
USGS	05453510	2008-05-06	708.66	A
USGS	05453510	2008-05-07	708.68	A
USGS	05453510	2008-05-08	708.61	A
USGS	05453510	2008-05-09	708.52	A
USGS	05453510	2008-05-10	708.35	A
USGS	05453510	2008-05-11	708.52	A
USGS	05453510	2008-05-12	708.58	A
USGS	05453510	2008-05-13	708.56	A
USGS	05453510	2008-05-14	708.82	A
USGS	05453510	2008-05-15	708.96	A
USGS	05453510	2008-05-16	709.05	A
USGS	05453510	2008-05-17	709.04	A
USGS	05453510	2008-05-18	708.93	A
USGS	05453510	2008-05-19	708.62	A
USGS	05453510	2008-05-20	708.24	A
USGS	05453510	2008-05-21	707.79	A
USGS	05453510	2008-05-22	707.27	A
USGS	05453510	2008-05-23	706.67	A
USGS	05453510	2008-05-24	706.32	A
USGS	05453510	2008-05-25	705.90	A
USGS	05453510	2008-05-26	705.69	A
USGS	05453510	2008-05-27	705.50	A
USGS	05453510	2008-05-28	705.29	A
USGS	05453510	2008-05-29	705.05	A
USGS	05453510	2008-05-30	704.82	A
USGS	05453510	2008-05-31	704.94	A
USGS	05453510	2008-06-01	704.75	A
USGS	05453510	2008-06-02	704.66	A
USGS	05453510	2008-06-03	705.11	A
USGS	05453510	2008-06-04	706.40	A
USGS	05453510	2008-06-05	707.92	A
USGS	05453510	2008-06-06	709.27	A
USGS	05453510	2008-06-07	710.27	A
USGS	05453510	2008-06-08	710.55	A
USGS	05453510	2008-06-09	711.21	A
USGS	05453510	2008-06-10	711.54	A
USGS	05453510	2008-06-11	712.57	A
USGS	05453510	2008-06-12	713.75	A
USGS	05453510	2008-06-13	715.74	A
USGS	05453510	2008-06-14	716.75	A
USGS	05453510	2008-06-15	716.96	A
USGS	05453510	2008-06-16	716.80	A
USGS	05453510	2008-06-17	716.35	A
USGS	05453510	2008-06-18	715.74	A
USGS	05453510	2008-06-19	715.11	A
USGS	05453510	2008-06-20	714.40	A
USGS	05453510	2008-06-21	713.79	A
USGS	05453510	2008-06-22	713.12	A
USGS	05453510	2008-06-23	712.46	A
USGS	05453510	2008-06-24	711.78	A
USGS	05453510	2008-06-25	711.05	A
USGS	05453510	2008-06-26	710.41	A
USGS	05453510	2008-06-27	709.54	A
USGS	05453510	2008-06-28	708.83	A
USGS	05453510	2008-06-29	707.84	A
USGS	05453510	2008-06-30	706.79	A
USGS	05453510	2008-07-01	705.63	A
USGS	05453510	2008-07-02	704.44	A
USGS	05453510	2008-07-03	703.26	A
USGS	05453510	2008-07-04	701.94	A
USGS	05453510	2008-07-05	700.65	A
USGS	05453510	2008-07-06	699.12	A
USGS	05453510	2008-07-07	697.92	A
USGS	05453510	2008-07-08	697.25	A
USGS	05453510	2008-07-09	696.68	A
USGS	05453510	2008-07-10	695.95	A
USGS	05453510	2008-07-11	695.10	A
USGS	05453510	2008-07-12	694.41	A
USGS	05453510	2008-07-13	693.79	A
USGS	05453510	2008-07-14	692.90	A
USGS	05453510	2008-07-15	691.82	A
USGS	05453510	2008-07-16	690.79	A
USGS	05453510	2008-07-17	689.74	A
USGS	05453510	2008-07-18	688.84	A
USGS	05453510	2008-07-19	688.57	A
USGS	05453510	2008-07-20	689.35	A
USGS	05453510	2008-07-21	690.91	A
USGS	05453510	2008-07-22	692.32	A
USGS	05453510	2008-07-23	693.52	A
USGS	05453510	2008-07-24	694.30	A
USGS	05453510	2008-07-25	694.86	A
USGS	05453510	2008-07-26	695.24	A
USGS	05453510	2008-07-27	695.40	A
USGS	05453510	2008-07-28	695.32	A
USGS	05453510	2008-07-29	694.96	A
USGS	05453510	2008-07-30	694.65	A
USGS	05453510	2008-07-31	694.17	A
USGS	05453510	2008-08-01	693.49	A
USGS	05453510	2008-08-02	692.68	A
USGS	05453510	2008-08-03	691.76	A
USGS	05453510	2008-08-04	690.75	A
USGS	05453510	2008-08-05	689.84	A
USGS	05453510	2008-08-06	688.82	A
USGS	05453510	2008-08-07	687.86	A
USGS	05453510	2008-08-08	686.80	A
USGS	05453510	2008-08-09	685.80	A
USGS	05453510	2008-08-10	684.99	A
USGS	05453510	2008-08-11	684.47	A
USGS	05453510	2008-08-12	683.90	A
USGS	05453510	2008-08-13	683.46	A
USGS	05453510	2008-08-14	683.35	A
USGS	05453510	2008-08-15	683.25	A
USGS	05453510	2008-08-16	683.25	A
USGS	05453510	2008-08-17	683.19	A
USGS	05453510	2008-08-18	683.20	A
USGS	05453510	2008-08-19	683.21	A
USGS	05453510	2008-08-20	683.24	A
USGS	05453510	2008-08-21	683.30	A
USGS	05453510	2008-08-22	683.42	A
USGS	05453510	2008-08-23	683.37	A
USGS	05453510	2008-08-24	683.28	A
USGS	05453510	2008-08-25	683.29	A
USGS	05453510	2008-08-26	683.27	A
USGS	05453510	2008-08-27	683.25	A
USGS	05453510	2008-08-28	683.28	A
USGS	05453510	2008-08-29	684.16	A
USGS	05453510	2008-08-30	684.16	A
USGS	05453510	2008-08-31	683.87	A
USGS	05453510	2008-09-01	683.45	A
USGS	05453510	2008-09-02	683.22	A
USGS	05453510	2008-09-03	683.24	A
USGS	05453510	2008-09-04	683.14	A
USGS	05453510	2008-09-05	683.26	A
USGS	05453510	2008-09-06	683.27	A
USGS	05453510	2008-09-07	683.27	A
USGS	05453510	2008-09-08	683.26	A
USGS	05453510	2008-09-09	683.29	A
USGS	05453510	2008-09-10	683.25	A
USGS	05453510	2008-09-11	683.27	A
USGS	05453510	2008-09-12	683.52	A
USGS	05453510	2008-09-13	683.96	A
USGS	05453510	2008-09-14	686.03	A
USGS	05453510	2008-09-15	687.31	A
USGS	05453510	2008-09-16	687.67	A
USGS	05453510	2008-09-17	686.93	A
USGS	05453510	2008-09-18	685.89	A
USGS	05453510	2008-09-19	685.10	A
USGS	05453510	2008-09-20	684.49	A
USGS	05453510	2008-09-21	684.00	A
USGS	05453510	2008-09-22	683.57	A
USGS	05453510	2008-09-23	683.39	A
USGS	05453510	2008-09-24	683.31	A
USGS	05453510	2008-09-25	683.26	A
USGS	05453510	2008-09-26	683.24	A
USGS	05453510	2008-09-27	683.26	A
USGS	05453510	2008-09-28	683.30	A
USGS	05453510	2008-09-29	683.45	A
USGS	05453510	2008-09-30	683.69	A
USGS	05453510	2008-10-01	683.58	A
USGS	05453510	2008-10-02	683.48	A
USGS	05453510	2008-10-03	683.47	A
USGS	05453510	2008-10-04	683.43	A
USGS	05453510	2008-10-05	683.38	A
USGS	05453510	2008-10-06	683.42	A
USGS	05453510	2008-10-07	683.43	A
USGS	05453510	2008-10-08	683.45	A
USGS	05453510	2008-10-09	683.61	A
USGS	05453510	2008-10-10	683.80	A
USGS	05453510	2008-10-11	684.02	A
USGS	05453510	2008-10-12	684.22	A
USGS	05453510	2008-10-13	684.44	A
USGS	05453510	2008-10-14	684.67	A
USGS	05453510	2008-10-15	684.85	A
USGS	05453510	2008-10-16	685.05	A
USGS	05453510	2008-10-17	685.24	A
USGS	05453510	2008-10-18	685.46	A
USGS	05453510	2008-10-19	685.55	A
USGS	05453510	2008-10-20	685.66	A
USGS	05453510	2008-10-21	685.74	A
USGS	05453510	2008-10-22	685.80	A
USGS	05453510	2008-10-23	685.97	A
USGS	05453510	2008-10-24	686.33	A
USGS	05453510	2008-10-25	686.43	A
USGS	05453510	2008-10-26	686.40	A
USGS	05453510	2008-10-27	686.40	A
USGS	05453510	2008-10-28	686.30	A
USGS	05453510	2008-10-29	686.32	A
USGS	05453510	2008-10-30	686.32	A
USGS	05453510	2008-10-31	686.30	A
USGS	05453510	2008-11-01	686.27	A
USGS	05453510	2008-11-02	686.25	A
USGS	05453510	2008-11-03	686.30	A
USGS	05453510	2008-11-04	686.37	A
USGS	05453510	2008-11-05	686.37	A
USGS	05453510	2008-11-06	686.50	A
USGS	05453510	2008-11-07	686.55	A
USGS	05453510	2008-11-08	686.36	A
USGS	05453510	2008-11-09	686.25	A
USGS	05453510	2008-11-10	686.32	A
USGS	05453510	2008-11-11	686.42	A
USGS	05453510	2008-11-12	686.47	A
USGS	05453510	2008-11-13	686.35	A
USGS	05453510	2008-11-14	686.37	A
USGS	05453510	2008-11-15	686.40	A
USGS	05453510	2008-11-16	686.30	A
USGS	05453510	2008-11-17	686.30	A
USGS	05453510	2008-11-18	686.30	A
USGS	05453510	2008-11-19	686.28	A
USGS	05453510	2008-11-20	686.33	A
USGS	05453510	2008-11-21	686.29	A
USGS	05453510	2008-11-22	686.18	A
USGS	05453510	2008-11-23	686.20	A
USGS	05453510	2008-11-24	686.35	A
USGS	05453510	2008-11-25	686.40	A
USGS	05453510	2008-11-26	686.40	A
USGS	05453510	2008-11-27	686.44	A
USGS	05453510	2008-11-28	686.44	A
USGS	05453510	2008-11-29	686.40	A
USGS	05453510	2008-11-30	686.38	A
USGS	05453510	2008-12-01	686.44	A
USGS	05453510	2008-12-02	686.32	A
USGS	05453510	2008-12-03	686.28	A
USGS	05453510	2008-12-04	686.19	A
USGS	05453510	2008-12-05	686.00	A
USGS	05453510	2008-12-06	685.75	A
USGS	05453510	2008-12-07	685.54	A
USGS	05453510	2008-12-08	685.12	A
USGS	05453510	2008-12-09	684.72	A
USGS	05453510	2008-12-10	684.35	A
USGS	05453510	2008-12-11	683.98	A
USGS	05453510	2008-12-12	683.65	A
USGS	05453510	2008-12-13	683.29	A
USGS	05453510	2008-12-14	683.00	A
USGS	05453510	2008-12-15	683.39	A
USGS	05453510	2008-12-16	683.68	A
USGS	05453510	2008-12-17	683.87	A
USGS	05453510	2008-12-18	683.82	A
USGS	05453510	2008-12-19	683.78	A
USGS	05453510	2008-12-20	683.64	A
USGS	05453510	2008-12-21	683.55	A
USGS	05453510	2008-12-22	683.43	A
USGS	05453510	2008-12-23	683.33	A
USGS	05453510	2008-12-24	683.37	A
USGS	05453510	2008-12-25	683.36	A
USGS	05453510	2008-12-26	683.34	A
USGS	05453510	2008-12-27	683.49	A
USGS	05453510	2008-12-28	684.55	A
USGS	05453510	2008-12-29	685.60	A
USGS	05453510	2008-12-30	685.68	A
USGS	05453510	2008-12-31	685.61	A
