# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 09:02:43 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05453520 Iowa River below Coralville Dam nr Coralville, IA
# -----------------------------------------------------------------------------------
#
# Data provided for site 05453520
#            TS   parameter     statistic     Description
#         42878       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	42878_00060_00003	42878_00060_00003_cd
USGS	05453520	2008-07-16	7930	A
USGS	05453520	2008-07-17	7310	A
USGS	05453520	2008-07-18	7090	A
USGS	05453520	2008-07-19	7500	A
USGS	05453520	2008-07-20	7770	A
USGS	05453520	2008-07-21	8090	A
USGS	05453520	2008-07-22	8020	A
USGS	05453520	2008-07-23	8090	A
USGS	05453520	2008-07-24	8140	A
USGS	05453520	2008-07-25	8180	A
USGS	05453520	2008-07-26	8210	A
USGS	05453520	2008-07-27	8230	A
USGS	05453520	2008-07-28	8210	A
USGS	05453520	2008-07-29	8130	A
USGS	05453520	2008-07-30	8120	A
USGS	05453520	2008-07-31	8000	A
USGS	05453520	2008-08-01	7920	A
USGS	05453520	2008-08-02	7810	A
USGS	05453520	2008-08-03	7710	A
USGS	05453520	2008-08-04	7200	A
USGS	05453520	2008-08-05	6660	A
USGS	05453520	2008-08-06	6180	A
USGS	05453520	2008-08-07	5920	A
USGS	05453520	2008-08-08	5530	A
USGS	05453520	2008-08-09	5050	A
USGS	05453520	2008-08-10	4220	A
USGS	05453520	2008-08-11	3780	A
USGS	05453520	2008-08-12	3420	A
USGS	05453520	2008-08-13	2680	A
USGS	05453520	2008-08-14	2260	A
USGS	05453520	2008-08-15	2100	A
USGS	05453520	2008-08-16	2000	A
USGS	05453520	2008-08-17	1990	A
USGS	05453520	2008-08-18	1820	A
USGS	05453520	2008-08-19	1600	A
USGS	05453520	2008-08-20	1460	A
USGS	05453520	2008-08-21	1400	A
USGS	05453520	2008-08-22	1550	A
USGS	05453520	2008-08-23	1630	A
USGS	05453520	2008-08-24	1410	A
USGS	05453520	2008-08-25	1270	A
USGS	05453520	2008-08-26	1310	A
USGS	05453520	2008-08-27	1240	A
USGS	05453520	2008-08-28	1530	A
USGS	05453520	2008-08-29	2290	A
USGS	05453520	2008-08-30	2510	A
USGS	05453520	2008-08-31	2490	A
USGS	05453520	2008-09-01	2130	A
USGS	05453520	2008-09-02	1650	A
USGS	05453520	2008-09-03	1500	A
USGS	05453520	2008-09-04	1430	A
USGS	05453520	2008-09-05	1390	A
USGS	05453520	2008-09-06	1320	A
USGS	05453520	2008-09-07	1240	A
USGS	05453520	2008-09-08	1220	A
USGS	05453520	2008-09-09	1210	A
USGS	05453520	2008-09-10	1210	A
USGS	05453520	2008-09-11	1240	A
USGS	05453520	2008-09-12	1680	A
USGS	05453520	2008-09-13	1810	A
USGS	05453520	2008-09-14	1880	A
USGS	05453520	2008-09-15	2610	A
USGS	05453520	2008-09-16	4410	A
USGS	05453520	2008-09-17	5310	A
USGS	05453520	2008-09-18	4550	A
USGS	05453520	2008-09-19	3530	A
USGS	05453520	2008-09-20	2960	A
USGS	05453520	2008-09-21	2570	A
USGS	05453520	2008-09-22	2040	A
USGS	05453520	2008-09-23	1620	A
USGS	05453520	2008-09-24	1410	A
USGS	05453520	2008-09-25	1290	A
USGS	05453520	2008-09-26	1160	A
USGS	05453520	2008-09-27	1110	A
USGS	05453520	2008-09-28	1030	A
USGS	05453520	2008-09-29	1060	A
USGS	05453520	2008-09-30	1470	A
USGS	05453520	2008-10-01	1710	A
USGS	05453520	2008-10-02	1460	A
USGS	05453520	2008-10-03	1370	A
USGS	05453520	2008-10-04	1290	A
USGS	05453520	2008-10-05	1170	A
USGS	05453520	2008-10-06	1130	A
USGS	05453520	2008-10-07	1130	A
USGS	05453520	2008-10-08	833	A
USGS	05453520	2008-10-09	580	A
USGS	05453520	2008-10-10	582	A
USGS	05453520	2008-10-11	702	A
USGS	05453520	2008-10-12	732	A
USGS	05453520	2008-10-13	695	A
USGS	05453520	2008-10-14	688	A
USGS	05453520	2008-10-15	650	A
USGS	05453520	2008-10-16	700	A
USGS	05453520	2008-10-17	697	A
USGS	05453520	2008-10-18	858	A
USGS	05453520	2008-10-19	1060	A
USGS	05453520	2008-10-20	1100	A
USGS	05453520	2008-10-21	884	A
USGS	05453520	2008-10-22	728	A
USGS	05453520	2008-10-23	738	A
USGS	05453520	2008-10-24	1090	A
USGS	05453520	2008-10-25	1610	A
USGS	05453520	2008-10-26	1590	A
USGS	05453520	2008-10-27	1580	A
USGS	05453520	2008-10-28	1410	A
USGS	05453520	2008-10-29	1290	A
USGS	05453520	2008-10-30	1290	A
USGS	05453520	2008-10-31	1290	A
USGS	05453520	2008-11-01	1190	A
USGS	05453520	2008-11-02	1060	A
USGS	05453520	2008-11-03	1020	A
USGS	05453520	2008-11-04	1020	A
USGS	05453520	2008-11-05	1020	A
USGS	05453520	2008-11-06	1240	A
USGS	05453520	2008-11-07	1670	A
USGS	05453520	2008-11-08	1630	A
USGS	05453520	2008-11-09	1320	A
USGS	05453520	2008-11-10	1530	A
USGS	05453520	2008-11-11	2020	A
USGS	05453520	2008-11-12	2440	A
USGS	05453520	2008-11-13	2430	A
USGS	05453520	2008-11-14	2360	A
USGS	05453520	2008-11-15	2480	A
USGS	05453520	2008-11-16	2480	A
USGS	05453520	2008-11-17	2430	A
USGS	05453520	2008-11-18	2430	A
USGS	05453520	2008-11-19	2430	A
USGS	05453520	2008-11-20	2420	A
USGS	05453520	2008-11-21	2430	A
USGS	05453520	2008-11-22	2130	A
USGS	05453520	2008-11-23	1810	A
USGS	05453520	2008-11-24	1730	A
USGS	05453520	2008-11-25	1730	A
USGS	05453520	2008-11-26	1660	A
USGS	05453520	2008-11-27	1740	A
USGS	05453520	2008-11-28	1740	A
USGS	05453520	2008-11-29	1730	A
USGS	05453520	2008-11-30	1740	A
USGS	05453520	2008-12-01	1730	A
USGS	05453520	2008-12-02	1690	A
USGS	05453520	2008-12-03	1650	A
USGS	05453520	2008-12-04	1640	A
USGS	05453520	2008-12-05	1650	A
USGS	05453520	2008-12-06	1640	A
USGS	05453520	2008-12-07	1840	A
USGS	05453520	2008-12-08	1960	A
USGS	05453520	2008-12-09	1950	A
USGS	05453520	2008-12-10	1950	A
USGS	05453520	2008-12-11	1930	A
USGS	05453520	2008-12-12	1930	A
USGS	05453520	2008-12-13	1930	A
USGS	05453520	2008-12-14	1210	A
USGS	05453520	2008-12-15	716	A
USGS	05453520	2008-12-16	670	A
USGS	05453520	2008-12-17	1020	A
USGS	05453520	2008-12-18	1360	A
USGS	05453520	2008-12-19	1350	A
USGS	05453520	2008-12-20	1350	A
USGS	05453520	2008-12-21	1370	A
USGS	05453520	2008-12-22	1300	A
USGS	05453520	2008-12-23	1160	A
USGS	05453520	2008-12-24	1140	A
USGS	05453520	2008-12-25	1160	A
USGS	05453520	2008-12-26	1160	A
USGS	05453520	2008-12-27	1510	A
USGS	05453520	2008-12-28	1340	A
USGS	05453520	2008-12-29	3350	A
USGS	05453520	2008-12-30	4350	A
USGS	05453520	2008-12-31	4570	A
